state,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,VEP,VAP,Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible
Alabama,0.61,0.608,0.584,2105622,2099819,3454510,3595708,0.022,30508,53252,8042,61155,74079
Alaska,0.683,0.68,0.643,327341,326197,479429,507645,0.037,5014,6708,1732,9234,60686
Arizona,0.574,0.567,0.491,2320851,2293475,4046075,4673718,0.116,39589,82232,7534,84472,90036
Arkansas,0.529,0.525,0.5,1095958,1086617,2071563,2174846,0.029,14716,31169,19908,40255,43963
California,0.617,0.609,0.495,13743177,13561900,22261504,27411094,0.179,173670,0,120753,234047,486207
Colorado,0.716,0.71,0.647,2422236,2401361,3382959,3708955,0.08,23274,0,11654,29101,71854
Connecticut,,0.666,0.604,,1646792,2471082,2725917,0.085,20661,0,2328,21825,45799
Delaware,0.658,0.656,0.606,413562,412398,628200,680493,0.053,7075,17216,551,15959,12658
District of Columbia,0.617,0.615,0.552,266871,265853,432566,481971,0.103,0,0,0,0,6916
Florida,0.666,0.661,0.576,8453743,8390744,12687407,14558436,0.112,102388,279760,4528,244532,451907
Georgia,0.627,0.625,0.556,3940705,3924440,6281872,7063638,0.073,52719,397081,23448,262984,141001
Hawaii,0.49,0.488,0.438,456064,453568,930067,1036088,0.097,5955,0,0,5955,20090
Idaho,0.648,0.636,0.586,667506,655032,1029416,1117842,0.049,7290,49513,3361,33727,26779
Illinois,0.643,0.636,0.574,5578195,5523051,8681138,9615700,0.092,45474,0,0,45474,200530
Indiana,0.603,0.591,0.57,2805986,2751054,4653019,4826231,0.03,28322,0,0,28322,89605
Iowa,0.697,0.694,0.669,1543662,1537123,2216094,2298515,0.026,8766,22958,3159,21825,43108
Kansas,0.635,0.62,0.588,1264208,1235872,1991759,2100084,0.042,8539,16263,4958,19150,42495
Kentucky,0.59,0.579,0.557,1858578,1826508,3152629,3277617,0.022,21706,51035,12277,53362,58518
Louisiana,0.618,0.612,0.587,1979852,1960761,3205794,3342279,0.02,38381,40025,24636,70712,68285
Maine,0.718,0.706,0.696,744456,731163,1036242,1049816,0.013,0,0,0,0,21362
Maryland,0.678,0.67,0.606,2661905,2631596,3925117,4342850,0.078,23324,96360,13220,78114,77074
Massachusetts,0.673,0.668,0.609,3102995,3080985,4612550,5058035,0.086,11408,0,0,11408,77830
Michigan,0.697,0.692,0.664,5039080,5001766,7229512,7528460,0.033,48738,0,0,48738,163673
Minnesota,0.781,0.778,0.732,2921147,2910369,3740142,3975974,0.04,9910,127627,5081,76264,70063
Mississippi,,0.61,0.589,,1289856,2113347,2190402,0.019,22754,22267,2922,35349,45082
Missouri,0.682,0.676,0.649,2950504,2925205,4327572,4507688,0.025,30186,57360,20683,69208,96710
Montana,0.671,0.663,0.651,497599,491960,741853,755384,0.013,3545,0,0,3545,22898
Nebraska,0.637,0.629,0.594,811923,801281,1274719,1348048,0.043,4520,19606,846,14746,27311
Nevada,0.572,0.57,0.484,970019,967848,1696831,2000277,0.141,12743,13337,3908,21366,45656
New Hampshire,0.725,0.717,0.696,719643,710970,992226,1021787,0.026,2702,0,0,2702,25558
New Jersey,0.677,0.67,0.582,3910220,3868237,5776527,6651284,0.117,25953,128737,15849,98246,110559
New Mexico,0.612,0.609,0.551,833365,830158,1362629,1505830,0.083,6402,20883,3724,18706,31444
New York,0.596,0.59,0.514,7721718,7640640,12948969,14876971,0.124,60347,0,52225,86460,263787
North Carolina,0.661,0.655,0.607,4354571,4310789,6584302,7096503,0.059,39482,109678,3409,96026,133483
North Dakota,0.636,0.627,0.617,321133,316621,504762,512768,0.013,1452,0,0,1452,11179
Ohio,0.678,0.669,0.651,5773777,5698260,8513079,8757453,0.022,51686,0,0,51686,174703
Oklahoma,0.563,0.558,0.528,1474694,1462661,2619121,2770219,0.04,25864,27940,3073,41371,57046
Oregon,0.683,0.677,0.627,1845251,1827864,2700327,2916246,0.069,14167,0,0,14167,63480
Pennsylvania,0.642,0.636,0.613,6071357,6012692,9457942,9813664,0.031,49215,0,0,49215,203791
Rhode Island,0.623,0.618,0.571,475428,471766,763608,825786,0.07,4045,0,0,4045,13827
South Carolina,0.582,0.58,0.553,1927153,1920969,3311044,3473488,0.034,24326,41254,1947,45927,72241
South Dakota,0.656,0.647,0.634,387449,381975,590720,602539,0.012,3342,0,2720,4702,20144
Tennessee,0.574,0.57,0.545,2618238,2599749,4563192,4771926,0.031,27228,58109,10578,61572,127930
Texas,,0.541,0.455,,8077795,14929810,17756112,0.135,172506,427080,102921,437507,549216
Utah,0.571,0.56,0.518,971185,952370,1700286,1840087,0.072,6552,0,0,6552,31783
Vermont,0.677,0.673,0.66,326822,325046,482677,492610,0.02,0,0,0,0,10546
Virginia,0.676,0.67,0.618,3753059,3723260,5555415,6022123,0.066,38276,53614,4471,67319,124689
Washington,0.673,0.666,0.603,3071587,3036878,4561163,5032960,0.078,17926,113134,11768,80377,138296
West Virginia,0.512,0.499,0.491,731691,713362,1430439,1453045,0.008,6059,8283,2005,11203,33788
Wisconsin,0.727,0.724,0.693,2997086,2983417,4120694,4306876,0.03,23379,50418,18105,57641,78721
Wyoming,0.631,0.628,0.609,256035,254658,405732,418040,0.017,2084,5438,727,5167,13832
