state,Status,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted (Estimate),Highest Office,VEP,VAP,Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible,State Abv
United States,,0.6012446003,0.5921829046,0.5468938217,138846570.8,136753936,230931921.4,250055734,0.082729255,1416810,2198907,506297,3176483.99,"4,739,596",
Alabama,Official,0.5912431939,0.5882817984,0.5632074336,2134061,2123372,3609447.047,3770142,0.024856375,28680,52177,8562,66982.89,,AL
Alaska,Official,0.6146615887,0.6095666881,0.5736891101,321271,318608,522679.4807,555367,0.041026113,4317,6621,1812,9902.97,,AK
Arizona,Official,0.5614605712,0.5494697935,0.4885838282,2661497,2604657,4740309.715,5331034,0.094079249,37582,77373,7500,89184.61,,AZ
Arkansas,Official,0.5316449827,0.5283100876,0.4944558028,1137772,1130635,2140097.315,2286625,0.038437223,17242,30881,23792,58636.17,,AR
California,Official,0.5819796861,0.5648947758,0.4695648117,14610509,14181595,25104843.6,30201571,0.164439704,130390,0,0,130390,,CA
Colorado,Official,0.7194072297,0.6995378426,0.6457089254,2859216,2780247,3974405.43,4305728,0.070269318,18576,0,10186,28762,,CO
Connecticut,Official,0.6489006128,0.6368844008,0.5829049925,1675955,1644920,2582760.699,2821935,0.078428561,14475,0,3379,17854,,CT
Delaware,Official,0.6436531646,0.6416089859,0.5918530096,445228,443814,691720.362,749872,0.056990377,6254,15395,387,15416.15,,DE
District of Columbia,Official,0.6066490348,0.6041123946,0.5535336076,312575,311268,515248.4915,562329,0.083724134,0,0,0,0,,DC
Florida,Official,0.6561499607,0.6451610371,0.5686510494,9580489,9420039,14601066.18,16565588,0.105344356,92847,214066,4566,219430.62,,FL
Georgia,Official,0.5984809352,0.5912002928,0.5256289212,4165405,4114732,6959962.724,7828207,0.071602194,51092,410964,22386,307727.48,,GA
Hawaii,Official,0.4321071853,0.4234909879,0.3828205254,437664,428937,1012859.806,1120465,0.091150722,5474,0,0,5474,,HI
Idaho,Official,0.609018076,0.5916272327,0.5504755069,710545,690255,1166705.929,1253925,0.044454765,7949,32409,5054,31476.13,,ID
Illinois,Offiical,0.6305886371,0.622076313,0.5665090573,5666118,5589631,8985442.595,9866799,0.085067042,42017,0,0,42017,,IL
Indiana,Official,0.5789098006,0.5639162034,0.5401433387,2807676,2734958,4849936.894,5063393,0.037229602,24948,0,0,24948,,IN
Iowa,Official,0.6909966398,0.6842936659,0.6506382652,1581371,1566031,2288536.454,2406915,0.036048122,8888,29254,6051,31613.78,,IA
Kansas,Official,0.5967146117,0.5766247924,0.5402251299,1225667,1184402,2054025.452,2192423,0.052207885,9613,16654,4830,23935.78,,KS
Kentucky,Offiical,0.5956565172,0.5861982523,0.5608697705,1955195,1924149,3282420.226,3430652,0.024007181,22868,48457,15383,65871.49,,KY
Louisiana,Official,0.6055755791,0.5995187331,0.5680934201,2049531,2029032,3384434.694,3571652,0.027401361,35543,40174,30907,89349.18,,LA
Maine,Official,0.7293197988,0.7066765418,0.6937860203,771892,747927,1058372.474,1078037,0.018241049,0,0,0,0,,ME
Maryland,Official,0.670066607,0.6638903851,0.5954839538,2807322,2781446,4189616.332,4670900,0.087832139,19382,72529,10305,71028.53,,MD
Massachusetts,Offiical,0.682858095,0.6719941712,0.6109456426,3378801,3325046,4948028.038,5442458,0.089233571,8780,0,0,8780,,MA
Michigan,Official,0.6569011104,0.6467490051,0.6196968791,4874619,4799284,7420628.346,7744567,0.036598128,40502,0,0,40502,,MI
Minnesota,Official,0.7470749737,0.7411684051,0.6944620855,2968281,2944813,3973203.633,4240423,0.045934268,10158,96852,7075,72438.64,,MN
Mississippi,Official,,0.5519051189,0.5332052666,,1209357,2191240.774,2268089,0.014322646,19150,29067,8645,44363.19,,MS
Missouri,Official,0.6223098347,0.6216582081,0.5962075527,2811549,2808605,4517924.743,4710784,0.025079865,31956,43799,17792,74713.43,,MO
Montana,Official,0.6427114736,0.6181494734,0.607980658,516901,497147,804250.4627,817702,0.01180936,3795,0,0,3795,,MT
Nebraska,Official,0.6403928121,0.6282289854,0.5877229562,860573,844227,1343820.517,1436437,0.054830635,5079,13489,1088,13855.73,,NE
Nevada,Official,0.573734039,0.5737116081,0.4943963421,1125429,1125385,1961586.595,2276281,0.126464494,13742,13724,5261,26825.68,,NV
New Hampshire,Official,0.7248305845,0.7137507504,0.6912501544,755850,744296,1042795.401,1076739,0.028907283,2818,0,0,2818,,NH
New Jersey,Official,0.6580527962,0.6442081395,0.5566244419,3957303,3874046,6013655.778,6959892,0.119609398,18504,140589,15128,113767.73,,NJ
New Mexico,Official,0.5490166504,0.5451081887,0.5017500812,804043,798319,1464514.782,1591069,0.068892825,6914,12714,2780,16940.98,,NM
New York,Official,0.5723692796,0.56756004,0.4963017055,7786881,7721453,13604645.25,15557982,0.119713132,46416,0,44426,90842,,NY
North Carolina,Official,0.6487098964,0.6448913317,0.6017203271,4769640,4741564,7352500.75,7880013,0.055002908,34357,82466,12726,94088.62,,NC
North Dakota,Official,0.6174231413,0.6075692835,0.5925105129,349945,344360,566783.0967,581188,0.021703654,1791,0,0,1791,,ND
Ohio,Official,0.6418409445,0.6291184488,0.6101815807,5607641,5496487,8736807.847,9007953,0.024365042,51666,0,0,51666,,OH
Oklahoma,Official,,0.5229940986,0.4898983615,,1452992,2778218.729,2965905,0.047192992,26691,33562,1895,47716.34,,OK
Oregon,Official,0.6799575395,0.6617793535,0.616881974,2056310,2001336,3024174.129,3244277,0.063168734,15166,0,0,15166,,OR
Pennsylvania,Official,,0.6361960975,0.6099309036,,6165478,9691159.729,10108486,0.036526565,48098,0,0,48098,,PA
Rhode Island,Official,0.5974322984,0.5905049239,0.5467110339,469589,464144,786012.0742,848975,0.07058503,3038,0,0,3038,,RI
South Carolina,Official,0.5725052142,0.5669631731,0.5415782826,2123584,2103027,3709283.247,3883145,0.0336231,20350,32634,4347,43298.38,,SC
South Dakota,Official,0.6004611899,0.5863572954,0.5660290499,378995,370093,631173.1821,653841,0.024832976,3744,0,2687,6431,,SD
Tennessee,Official,0.5184457465,0.5108595235,0.4855841342,2545271,2508027,4909425.947,5164969,0.034822653,27906,62609,12092,75685.13,,TN
Texas,Official,0.5143587839,0.514027875,0.433891988,8975000,8969226,17448909.75,20671564,0.132679743,155327,374285,111287,479956.45,,TX
Utah,Official,0.5785318437,0.5680196915,0.527526315,1152369,1131430,1991885.17,2144784,0.068563002,5846,0,0,5846,,UT
